X,Y,RxPow
2084.3,476.34,-37.208
1921.1,115.3,-17.593
2125.3,-317.37,-39.257
1674.5,-29,-38.36
1754,-197.79,-38.565
1490.4,250.54,-39.566
2100.4,211.53,-18.294
1720.9,156.31,-32.567
1509.8,430.32,-42.919
2261,-376.42,-42.25
2229.6,-224.34,-37.154
1562,-328.97,-43.385
1644.9,356.91,-41.15
2045.1,-91.132,-17.787
2079.3,163.13,-20.679
2099.8,28.069,-18.401
1708.5,191.36,-33.615
1636.4,167.66,-35.282
1741.4,-559.58,-37.014
1801,353.85,-39.324
2257.7,-122.55,-37.241
1960.4,-61.759,-20.827
2088.3,97.961,-18.466
1928.8,322.04,-30.478
1887.6,129.29,-18.317
1659.2,86.933,-36.637
1804.6,-138.46,-31.849
1675.3,-78.168,-36.793
1418.2,-171.12,-39.642
1826.2,440.3,-43.453
1980,-272.28,-35.594
1827.1,-477.34,-39.56
1412.5,-974.28,-24.966
1553.6,-414.99,-39.513
1680.9,-542.62,-34.604
1787.6,-1137.5,-36.571
1557.1,-944.46,-13.531
1365.8,-828.03,-22.892
1757.3,-647.81,-33.942
1815.8,-438.79,-42.065
1448.3,-375.49,-41.151
1677.3,-443.02,-40.964
1473,-753.32,-23.427
1676.3,-1144.3,-32.938
1621,-567.23,-36.111
1180.8,-1060.6,-39.879
1133.1,-618.48,-41.217
1597.5,-756.52,-20.938
1804.5,-1162.6,-37.232
1467.1,-923.13,-19.938
1644.3,-1230.8,-37.643
1187.6,-694.43,-37.587
1020.3,-777.74,-39.731
1274.3,-1190.9,-41.712
1871.9,-432,-39.638
1448.5,-487.06,-38.277
1161,-905.76,-38.073
2107.7,-941.72,-47.238
1103.2,-1055.2,-38.594
1757.1,-374.02,-41.95
2067.8,-763.51,-45.806
1298.7,-573.71,-40.788
1131.1,-855.41,-39.301
1228.8,-803.86,-34.791
1725.3,-814.24,-24.339
1143.7,-548.82,-42.719
1049.1,-946.15,-40.913
1544.9,-804.33,-16.411
1609.3,-1415.4,-44.599
1163.2,-1222.5,-40.143
1619.6,-1401.2,-43.131
1385.4,-602.46,-39.886
1272.6,-708.41,-36.87
1807.8,-326.44,-39.955
1849.3,-636.95,-37.836
1611.1,-1054.9,-25.466
1712.7,-673.73,-29.364
1164.7,-1075,-39.44
1553.6,-989.69,-18.837
2075,-856.99,-46.979
1808.6,-574.83,-37.223
1164.8,-1090.7,-38.782
1603.7,-300.02,-41.862
1559.7,-868.66,-12.645
1792.2,-1067.8,-33.584
1963.8,-1090.8,-43.249
1642.1,-562.58,-36.663
1983.6,-1053.4,-43.68
1407.7,-951.83,-20.694
1250.6,-1209.6,-39.436
1199.3,-807.48,-33.552
1773.3,-1257.5,-40.84
1239.2,-1010.7,-36.192
1536.6,-533.7,-38.385
1280.3,-783.28,-33.398
1970.6,-653.69,-42.185
1328.7,-1251.7,-41.482
1517.3,-304.08,-41.974
1064.7,-1090.8,-40.422
1889.2,-1066.5,-35.982
1635.5,-332.53,-43.393
1893.6,-646.73,-38.825
1633.9,-813.27,-13.344
1983.9,-622.62,-44.476
1911.7,-503,-40.751
1271.9,-512.73,-42.995
1739.7,-666.31,-32.226
1627.3,-369.93,-43.237
1230.6,-1075.7,-40.27
1707.2,-843.96,-20.167
1581,-1012.8,-22.46
1361.9,-1164.4,-38.932
1526.1,-1402.7,-44.715
1415.5,-569.15,-37.992
1748.4,-1065.1,-32.053
1576,-1023.6,-22.233
2070.3,-675.78,-47.743
1360.4,-891.04,-22.371
1861,-1194.1,-41.42
1774.1,-1386,-44.609
1460.3,-636.4,-36.358
1248.2,-1071,-37.512
1230,-450.1,-42.899
1874,-375.63,-40.156
1463.7,-639.84,-31.995
1737.5,-836.86,-26.625
1580.6,-378.17,-42.497
998.36,-889.96,-39.731
1126.2,-1139.4,-39.625
1467.7,-475.59,-43.178
1681.9,-792.15,-18.45
926.99,-1945.8,-23.404
987.46,-1858.4,-25.112
997.33,-1466.6,-22.244
550.23,-1705.8,-37.686
1218.7,-1408.4,-38.067
617.63,-1960.2,-38.994
1101.4,-2226.3,-42.969
890.74,-1853.8,-18.034
993.77,-1632.8,-16.511
1513.4,-1733.3,-47.725
1279.7,-1944.8,-43.116
981.26,-1770.7,-20.447
650.31,-1399.7,-36.189
1185.9,-1587.3,-35.315
1293.8,-2002.5,-42.06
1432.6,-1773.4,-47.723
496.92,-1711.8,-39.158
596.38,-2092.8,-43.2
1113.5,-1720.1,-33.613
855.07,-1541.2,-16.669
793.09,-2310.1,-46.593
990.25,-2203.4,-43.756
667.85,-1732.4,-31.67
506.46,-1862,-39.672
627.64,-1581.7,-35.039
669.63,-1907,-34.145
1310.1,-2223.8,-45.025
841.28,-1580.2,-15.276
808.4,-2157.2,-47.521
557.24,-1720,-39.062
1270.1,-2087.9,-46.875
1145.2,-1501.8,-30.917
1038.7,-1297.1,-34.815
1295.6,-1677.3,-41.568
1185.5,-2103.9,-39.233
631.64,-2024.7,-46.559
933.14,-1471.8,-17.785
1484.7,-1755.5,-46.642
773.8,-2165.2,-47.862
835.77,-1757.6,-29.556
1024.9,-1784.8,-15.357
506.61,-1527.5,-39.526
1274.3,-2218,-45.667
1248,-1476.3,-43.116
1026,-1352.3,-33.721
1143.2,-1687.3,-28.202
1242,-1634,-41.348
671.89,-1711.4,-32.632
1382.8,-1669.7,-46.458
688.07,-2257.3,-47.908
1225.8,-1963.4,-40.524
769.28,-1693.3,-27.256
657.85,-1995.1,-40.792
1245.4,-1934,-43.2
1341.1,-1855.2,-42.496
930.01,-1686.3,-15.559
619.02,-1471.1,-36.928
1263.9,-1837.5,-37.448
787.06,-1808,-20.61
989.25,-2299.5,-44.093
945.38,-2333.7,-47.338
1304.4,-2224,-47.785
1209.8,-1570.5,-36.106
1122.6,-1596.2,-27.245
1226,-2267.2,-47.558
1429,-1579.2,-47.319
